API,neuri,neuri_cnt
torch.Tensor.__and__,37356,1032
torch.Tensor.__iand__,38010,983
torch.Tensor.__ior__,38022,942
torch.Tensor.__ixor__,38021,745
torch.Tensor.__lshift__,36974,1055
torch.Tensor.__or__,37437,14681
torch.Tensor.__rshift__,36999,923
torch.Tensor.__xor__,37413,927
torch.Tensor.abs,36821,3509
torch.Tensor.abs_,37630,940
torch.Tensor.acos,36932,843
torch.Tensor.acos_,37554,964
torch.Tensor.acosh,36911,981
torch.Tensor.add,37610,945
torch.Tensor.add_,38450,3284
torch.Tensor.addbmm,36916,980
torch.Tensor.addcdiv,36908,900
torch.Tensor.addcdiv_,38070,949
torch.Tensor.addcmul,37392,1061
torch.Tensor.addcmul_,38363,862
torch.Tensor.addmm,36913,899
torch.Tensor.addmm_,36916,878
torch.Tensor.addmv,36917,840
torch.Tensor.addmv_,38016,867
torch.Tensor.addr,36915,747
torch.Tensor.adjoint,37713,947
torch.Tensor.all,37653,829
torch.Tensor.amax,37760,956
torch.Tensor.amin,36913,838
torch.Tensor.aminmax,36920,989
torch.Tensor.angle,36904,792
torch.Tensor.any,37680,1788
torch.Tensor.argmax,37767,499
torch.Tensor.argmin,37753,678
torch.Tensor.argsort,37735,1072
torch.Tensor.argwhere,36912,748
torch.Tensor.as_strided,37939,351
torch.Tensor.as_strided_,37808,834
torch.Tensor.asin,36900,1030
torch.Tensor.asin_,37607,820
torch.Tensor.asinh,36914,878
torch.Tensor.atan,36916,916
torch.Tensor.atan2,37385,1136
torch.Tensor.atan2_,38233,750
torch.Tensor.atan_,37599,1021
torch.Tensor.atanh,36916,902
torch.Tensor.bitwise_and,37996,952
torch.Tensor.bitwise_left_shift,36913,854
torch.Tensor.bitwise_not,37587,912
torch.Tensor.bitwise_not_,37599,892
torch.Tensor.bitwise_or,38002,977
torch.Tensor.bitwise_xor,37976,875
torch.Tensor.bmm,38016,1072
torch.Tensor.broadcast_to,36905,260
torch.Tensor.ceil,36925,913
torch.Tensor.ceil_,37602,934
torch.Tensor.cholesky,36916,887
torch.Tensor.cholesky_inverse,36892,1042
torch.Tensor.cholesky_solve,36915,943
torch.Tensor.chunk,37210,1648
torch.Tensor.clamp,37017,1024
torch.Tensor.clamp_,37745,2490
torch.Tensor.clamp_max,37677,890
torch.Tensor.clamp_max_,37669,883
torch.Tensor.clamp_min,37675,875
torch.Tensor.clamp_min_,37691,906
torch.Tensor.conj,37667,1276
torch.Tensor.conj_physical,36917,978
torch.Tensor.copysign,36753,1002
torch.Tensor.corrcoef,36917,956
torch.Tensor.cos,36929,1288
torch.Tensor.cos_,37605,791
torch.Tensor.cosh,36929,842
torch.Tensor.cosh_,37606,953
torch.Tensor.count_nonzero,36901,844
torch.Tensor.cov,36915,944
torch.Tensor.cummax,36913,859
torch.Tensor.cummin,36916,926
torch.Tensor.cumprod,36902,1058
torch.Tensor.cumsum,36913,865
torch.Tensor.cumsum_,36875,1010
torch.Tensor.deg2rad,36908,895
torch.Tensor.det,36919,999
torch.Tensor.diag,36914,972
torch.Tensor.diag_embed,36918,953
torch.Tensor.diagflat,36852,1007
torch.Tensor.diagonal,37815,1079
torch.Tensor.diff,36915,987
torch.Tensor.digamma,36897,1062
torch.Tensor.digamma_,37606,933
torch.Tensor.dist,36923,899
torch.Tensor.div,37511,1130
torch.Tensor.div_,38428,1599
torch.Tensor.divide,36911,938
torch.Tensor.divide_,36906,975
torch.Tensor.dot,36918,943
torch.Tensor.dsplit,36916,925
torch.Tensor.eq,37468,1902
torch.Tensor.erf,36919,866
torch.Tensor.erf_,37608,953
torch.Tensor.erfc,36905,1032
torch.Tensor.erfc_,37601,904
torch.Tensor.erfinv,37594,974
torch.Tensor.erfinv_,36813,3483
torch.Tensor.exp,36910,1042
torch.Tensor.exp2,36914,939
torch.Tensor.exp_,37606,876
torch.Tensor.expand,37305,9975
torch.Tensor.expand_as,38143,881
torch.Tensor.expm1,36926,1114
torch.Tensor.expm1_,37578,998
torch.Tensor.fill_,37738,2288
torch.Tensor.flatten,37770,1073
torch.Tensor.flip,37761,891
torch.Tensor.fliplr,36886,1037
torch.Tensor.flipud,36913,904
torch.Tensor.float_power,38026,979
torch.Tensor.float_power_,38059,976
torch.Tensor.floor,36919,854
torch.Tensor.floor_,37606,954
torch.Tensor.floor_divide,36911,999
torch.Tensor.fmax,36910,819
torch.Tensor.fmin,36854,1022
torch.Tensor.fmod,36916,882
torch.Tensor.fmod_,38024,959
torch.Tensor.frac,36864,1018
torch.Tensor.frac_,37599,1159
torch.Tensor.frexp,36915,997
torch.Tensor.gather,36915,859
torch.Tensor.ge,37348,856
torch.Tensor.ge_,37675,930
torch.Tensor.gt,37360,870
torch.Tensor.hardshrink,37012,910
torch.Tensor.heaviside,37965,983
torch.Tensor.heaviside_,37992,871
torch.Tensor.index_select,36943,942
torch.Tensor.isinf,37592,798
torch.Tensor.isnan,36939,1322
torch.Tensor.ldexp,37995,900
torch.Tensor.ldexp_,38157,904
torch.Tensor.le,37346,916
torch.Tensor.lerp,37513,982
torch.Tensor.lgamma,36918,793
torch.Tensor.lgamma_,37605,969
torch.Tensor.log,36904,2013
torch.Tensor.log10,36926,903
torch.Tensor.log10_,37582,1021
torch.Tensor.log1p,36913,1125
torch.Tensor.log1p_,37606,867
torch.Tensor.log2,36933,837
torch.Tensor.log2_,37600,786
torch.Tensor.log_,37605,825
torch.Tensor.log_softmax,37688,957
torch.Tensor.logical_and,37999,973
torch.Tensor.logical_not,37590,1244
torch.Tensor.logical_not_,37591,852
torch.Tensor.logical_or,37977,1049
torch.Tensor.logical_or_,38013,827
torch.Tensor.logical_xor,37940,818
torch.Tensor.logical_xor_,38183,759
torch.Tensor.lt,37345,737
torch.Tensor.masked_fill,38062,984
torch.Tensor.masked_fill_,38157,2136
torch.Tensor.masked_scatter,36880,1026
torch.Tensor.masked_select,36913,934
torch.Tensor.matmul,37578,3354
torch.Tensor.matrix_exp,36922,878
torch.Tensor.matrix_power,36915,963
torch.Tensor.max,37722,1026
torch.Tensor.maximum,36918,855
torch.Tensor.mean,37890,2830
torch.Tensor.median,36910,775
torch.Tensor.min,37778,832
torch.Tensor.minimum,36921,833
torch.Tensor.mm,36819,1006
torch.Tensor.mode,36915,979
torch.Tensor.moveaxis,36913,801
torch.Tensor.movedim,37888,3162
torch.Tensor.msort,37674,1249
torch.Tensor.mul,37489,1532
torch.Tensor.mul_,38350,2969
torch.Tensor.mv,37973,918
torch.Tensor.mvlgamma,36910,1091
torch.Tensor.nan_to_num,37664,1172
torch.Tensor.nan_to_num_,37694,996
torch.Tensor.nanmean,36914,832
torch.Tensor.nanmedian,36920,916
torch.Tensor.narrow,37801,774
torch.Tensor.ne,37421,892
torch.Tensor.neg,36926,998
torch.Tensor.neg_,37604,952
torch.Tensor.new_full,37913,1862
torch.Tensor.new_ones,37786,1216
torch.Tensor.new_zeros,37798,1494
torch.Tensor.nonzero,36909,838
torch.Tensor.norm,37746,767
torch.Tensor.permute,37874,3911
torch.Tensor.polygamma_,37674,843
torch.Tensor.pow,38070,1070
torch.Tensor.pow_,38343,901
torch.Tensor.prod,37702,1554
torch.Tensor.ravel,37660,1092
torch.Tensor.reciprocal,36940,877
torch.Tensor.reciprocal_,37577,996
torch.Tensor.relu,36916,1042
torch.Tensor.relu_,37607,973
torch.Tensor.remainder_,36790,1007
torch.Tensor.repeat,37794,1760
torch.Tensor.reshape,37832,559
torch.Tensor.reshape_as,38102,921
torch.Tensor.resolve_conj,37614,8822
torch.Tensor.rot90,37832,920
torch.Tensor.round,36909,912
torch.Tensor.round_,37602,873
torch.Tensor.rsqrt,36935,911
torch.Tensor.rsqrt_,37597,880
torch.Tensor.scatter_,36914,983
torch.Tensor.scatter_add_,36908,855
torch.Tensor.scatter_reduce_,38045,795
torch.Tensor.sigmoid,36925,917
torch.Tensor.sigmoid_,37605,918
torch.Tensor.sign,37566,1020
torch.Tensor.sign_,37602,834
torch.Tensor.sin,36916,883
torch.Tensor.sin_,36877,937
torch.Tensor.sinh,36931,798
torch.Tensor.sinh_,37604,869
torch.Tensor.softmax,37678,821
torch.Tensor.sort,37760,676
torch.Tensor.sqrt,36900,1051
torch.Tensor.sqrt_,37609,888
torch.Tensor.squeeze,37777,4231
torch.Tensor.squeeze_,37600,711
torch.Tensor.sub,37389,1055
torch.Tensor.sub_,38443,1311
torch.Tensor.sum,36335,1002
torch.Tensor.swapaxes_,37720,1256
torch.Tensor.swapdims_,37711,982
torch.Tensor.t,37721,854
torch.Tensor.t_,37664,967
torch.Tensor.tan,36921,776
torch.Tensor.tan_,37605,813
torch.Tensor.tanh,36924,872
torch.Tensor.tanh_,37605,839
torch.Tensor.transpose,37846,948
torch.Tensor.transpose_,37731,1932
torch.Tensor.tril,37695,278
torch.Tensor.tril_,37627,1017
torch.Tensor.triu_,37680,961
torch.Tensor.true_divide_,37573,995
torch.Tensor.trunc,36918,836
torch.Tensor.trunc_,37607,856
torch.Tensor.type_as,37368,924
torch.Tensor.unfold,37832,1173
torch.Tensor.unique_consecutive,36899,594
torch.Tensor.unsqueeze,37050,4618
torch.Tensor.unsqueeze_,37674,1148
torch.Tensor.view,37825,2215
torch.Tensor.view_as,38078,1260
torch.Tensor.xlogy_,38076,1190
torch.Tensor.zero_,37595,4667
torch._C._fft.fft_fft,37841,885
torch._C._fft.fft_fft2,37896,732
torch._C._fft.fft_fftn,37905,920
torch._C._fft.fft_fftshift,37801,1037
torch._C._fft.fft_hfft,37775,1043
torch._C._fft.fft_hfft2,37965,996
torch._C._fft.fft_hfftn,37984,893
torch._C._fft.fft_ifft,37889,1025
torch._C._fft.fft_ifft2,37903,897
torch._C._fft.fft_ifftn,37871,1059
torch._C._fft.fft_ifftshift,37835,929
torch._C._fft.fft_ihfft,37867,966
torch._C._fft.fft_ihfft2,37925,986
torch._C._fft.fft_ihfftn,37922,900
torch._C._fft.fft_irfft,37822,787
torch._C._fft.fft_irfft2,37912,947
torch._C._fft.fft_irfftn,37883,1060
torch._C._fft.fft_rfft,37823,837
torch._C._fft.fft_rfft2,37919,922
torch._C._fft.fft_rfftn,37908,845
torch._C._linalg.linalg_cholesky,37674,1410
torch._C._linalg.linalg_cholesky_ex,37658,1107
torch._C._linalg.linalg_cond,36906,1131
torch._C._linalg.linalg_det,36918,859
torch._C._linalg.linalg_eig,36912,878
torch._C._linalg.linalg_eigh,37689,1448
torch._C._linalg.linalg_eigvals,36900,1020
torch._C._linalg.linalg_eigvalsh,36892,535
torch._C._linalg.linalg_inv,37714,1320
torch._C._linalg.linalg_inv_ex,37752,1548
torch._C._linalg.linalg_ldl_factor,37663,753
torch._C._linalg.linalg_ldl_factor_ex,37666,970
torch._C._linalg.linalg_lstsq,36905,858
torch._C._linalg.linalg_lu,36831,2005
torch._C._linalg.linalg_lu_factor,36894,1067
torch._C._linalg.linalg_lu_factor_ex,36914,1166
torch._C._linalg.linalg_matrix_norm,37858,831
torch._C._linalg.linalg_matrix_power,37966,842
torch._C._linalg.linalg_matrix_rank,36917,684
torch._C._linalg.linalg_norm,37854,839
torch._C._linalg.linalg_pinv,37780,1551
torch._C._linalg.linalg_qr,36918,2849
torch._C._linalg.linalg_slogdet,36904,649
torch._C._linalg.linalg_solve,38042,682
torch._C._linalg.linalg_solve_ex,37994,444
torch._C._linalg.linalg_solve_triangular,36905,744
torch._C._linalg.linalg_svd,37653,1057
torch._C._linalg.linalg_svdvals,36916,437
torch._C._linalg.linalg_tensorinv,36925,357
torch._C._linalg.linalg_tensorsolve,36919,706
torch._C._linalg.linalg_vander,37868,1117
torch._C._linalg.linalg_vecdot,36911,775
torch._C._linalg.linalg_vector_norm,37874,2363
torch._C._nn.adaptive_max_pool2d,37749,928
torch._C._nn.adaptive_max_pool3d,37744,555
torch._C._nn.avg_pool2d,37753,1901
torch._C._nn.avg_pool3d,37755,1376
torch._C._nn.flatten_dense_tensors,38091,885
torch._C._nn.gelu,37034,788
torch._C._nn.gelu_,37693,974
torch._C._nn.huber_loss,38014,915
torch._C._nn.l1_loss,37971,791
torch._C._nn.log_sigmoid,37608,823
torch._C._nn.max_pool2d_with_indices,37724,671
torch._C._nn.mse_loss,36917,904
torch._C._nn.pad_sequence,36917,636
torch._C._nn.reflection_pad1d,37730,1098
torch._C._nn.smooth_l1_loss,37711,860
torch._C._nn.soft_margin_loss,36916,952
torch._C._nn.softplus,37018,963
torch._C._nn.softshrink,37663,878
torch._C._nn.upsample_bicubic2d,37853,1878
torch._C._nn.upsample_bilinear2d,37857,1725
torch._C._nn.upsample_linear1d,36820,1009
torch._C._nn.upsample_nearest1d,37832,981
torch._C._nn.upsample_nearest2d,37792,1537
torch._C._nn.upsample_nearest3d,37881,1041
torch._C._nn.upsample_trilinear3d,37884,873
torch._C._special.special_airy_ai,37581,879
torch._C._special.special_bessel_j0,37585,771
torch._C._special.special_bessel_j1,37583,935
torch._C._special.special_bessel_y0,37511,1013
torch._C._special.special_bessel_y1,37588,901
torch._C._special.special_chebyshev_polynomial_t,37967,963
torch._C._special.special_chebyshev_polynomial_u,37922,816
torch._C._special.special_entr,37585,1095
torch._C._special.special_erfcx,37587,864
torch._C._special.special_hermite_polynomial_h,37926,913
torch._C._special.special_hermite_polynomial_he,37923,859
torch._C._special.special_i0e,37588,862
torch._C._special.special_i1,37590,866
torch._C._special.special_i1e,37587,872
torch._C._special.special_laguerre_polynomial_l,37946,978
torch._C._special.special_log_ndtr,37591,870
torch._C._special.special_modified_bessel_i0,37584,876
torch._C._special.special_modified_bessel_i1,37587,864
torch._C._special.special_modified_bessel_k0,37577,810
torch._C._special.special_modified_bessel_k1,37558,1045
torch._C._special.special_ndtr,37585,873
torch._C._special.special_ndtri,37594,771
torch._C._special.special_scaled_modified_bessel_k0,37588,953
torch._C._special.special_scaled_modified_bessel_k1,37583,796
torch._C._special.special_spherical_bessel_j0,37580,926
torch._C._special.special_xlog1py,37939,960
torch._C._special.special_zeta,37916,903
torch.abs,36928,1060
torch.acos,36930,853
torch.acosh,37585,910
torch.adaptive_avg_pool1d,37887,941
torch.adaptive_max_pool1d,37830,850
torch.add,37797,1953
torch.addcdiv,38115,939
torch.addcmul,37554,998
torch.addmm,38358,870
torch.addmv,38025,872
torch.addr,38110,805
torch.all,37683,1316
torch.amax,37793,2258
torch.amin,37797,1599
torch.aminmax,37702,1114
torch.angle,37620,774
torch.any,37671,1626
torch.argmax,37708,1560
torch.argmin,37689,1524
torch.argsort,37743,962
torch.argwhere,37651,913
torch.as_strided,37905,1794
torch.as_tensor,37018,884
torch.asin,36926,735
torch.asinh,37588,790
torch.atan,36930,930
torch.atan2,37424,1240
torch.atanh,37583,822
torch.atleast_1d,37683,493
torch.atleast_2d,37738,476
torch.atleast_3d,37743,469
torch.bernoulli,36915,1299
torch.binary_cross_entropy_with_logits,36890,1045
torch.bitwise_and,38014,1112
torch.bitwise_left_shift,37992,930
torch.bitwise_not,37583,17593
torch.bitwise_or,38050,944
torch.bitwise_right_shift,37862,1007
torch.bitwise_xor,38037,966
torch.block_diag,37722,938
torch.bmm,37962,1157
torch.broadcast_tensors,36475,1001
torch.broadcast_to,37794,1193
torch.bucketize,38007,759
torch.cartesian_prod,38255,1061
torch.cat,37794,471
torch.ceil,36928,1352
torch.cholesky,37614,1520
torch.cholesky_inverse,36915,954
torch.chunk,37186,1103
torch.clamp,38130,946
torch.clamp_,38062,971
torch.clamp_max,38095,951
torch.clamp_max_,37664,1037
torch.clamp_min,38093,882
torch.clamp_min_,37992,975
torch.column_stack,38219,354
torch.combinations,36915,934
torch.complex,38027,1725
torch.conj,37663,19189
torch.conj_physical,37611,18951
torch.constant_pad_nd,37877,957
torch.copysign,37995,1067
torch.corrcoef,37859,922
torch.cos,36925,935
torch.cosh,36943,781
torch.cosine_embedding_loss,36911,935
torch.cosine_similarity,38141,898
torch.count_nonzero,37785,965
torch.cov,37847,806
torch.cross,38020,917
torch.cummax,37671,859
torch.cummin,37669,945
torch.cumprod,37701,1087
torch.cumsum,37717,1066
torch.cumulative_trapezoid,38158,826
torch.deg2rad,37618,943
torch.diag,36915,847
torch.diag_embed,36917,1212
torch.diagflat,36918,876
torch.diagonal,37820,1666
torch.diagonal_copy,36818,1006
torch.diff,38147,994
torch.digamma,37589,860
torch.div,38262,1553
torch.divide,38190,944
torch.dsplit,36894,1104
torch.dstack,37753,1077
torch.eq,37495,1565
torch.erf,36781,1003
torch.erfc,36920,812
torch.erfinv,37591,803
torch.exp,36945,1273
torch.exp2,37616,783
torch.expm1,36856,1010
torch.flatten,36910,1100
torch.flip,37785,1982
torch.fliplr,37625,2154
torch.flipud,37599,2076
torch.float_power,38102,715
torch.floor,36923,1300
torch.floor_divide,38100,2345
torch.fmax,38022,902
torch.fmin,38045,874
torch.fmod,37481,1165
torch.frac,36927,2542
torch.frexp,37625,631
torch.full_like,37828,876
torch.gcd,37968,1077
torch.ge,37478,769
torch.geqrf,36914,2371
torch.gradient,37862,778
torch.gt,37491,17931
torch.hardshrink,37003,841
torch.heaviside,38022,1090
torch.hinge_embedding_loss,38075,838
torch.histc,37799,975
torch.histogram,37847,1018
torch.histogramdd,38337,931
torch.hsplit,36914,883
torch.hstack,36915,852
torch.hypot,37992,1257
torch.i0,37587,942
torch.igamma,37937,1033
torch.igammac,38016,932
torch.imag,37685,1032
torch.index_put,38161,830
torch.isfinite,37655,19148
torch.isin,37946,1032
torch.isinf,37594,12293
torch.isnan,36924,4925
torch.isneginf,37598,12359
torch.isposinf,37589,14091
torch.isreal,37666,19454
torch.kron,37981,1160
torch.kthvalue,37714,726
torch.lcm,37994,1236
torch.ldexp,38013,879
torch.le,36761,1003
torch.lerp,37497,1092
torch.lgamma,36921,930
torch.log,36919,1155
torch.log10,36926,875
torch.log1p,36926,863
torch.log2,36934,950
torch.log_softmax,37685,905
torch.logaddexp,37958,1093
torch.logaddexp2,37935,756
torch.logcumsumexp,37684,825
torch.logdet,36904,703
torch.logical_and,38054,11218
torch.logical_not,37586,16935
torch.logical_or,38027,10664
torch.logical_xor,38055,11908
torch.logit,37675,940
torch.logsumexp,37826,1457
torch.lt,37488,15221
torch.margin_ranking_loss,38070,996
torch.masked_fill,38063,790
torch.masked_scatter,36913,995
torch.masked_select,37987,794
torch.matmul,37813,1189
torch.matrix_exp,38047,792
torch.max,38096,1028
torch.maximum,38055,993
torch.mean,37801,1715
torch.median,37761,844
torch.min,38160,987
torch.minimum,37994,1058
torch.mm,38028,748
torch.mode,36901,1031
torch.moveaxis,37890,5135
torch.movedim,37894,5318
torch.msort,37687,933
torch.mul,37681,1714
torch.mvlgamma,37723,1314
torch.nan_to_num,37690,17838
torch.nanmean,37823,1461
torch.nanmedian,37749,1045
torch.nanquantile,38040,1300
torch.nansum,37828,1381
torch.narrow,36915,1293
torch.narrow_copy,36906,1153
torch.native_layer_norm,37794,964
torch.ne,37549,965
torch.neg,36938,2061
torch.nextafter,37986,1226
torch.nn.functional.adaptive_avg_pool2d,37869,4052
torch.nn.functional.adaptive_avg_pool3d,37853,1551
torch.nn.functional.adaptive_max_pool1d_with_indices,37828,820
torch.nn.functional.adaptive_max_pool2d_with_indices,37799,893
torch.nn.functional.adaptive_max_pool3d_with_indices,37785,697
torch.nn.functional.batch_norm,37819,4692
torch.nn.functional.binary_cross_entropy_with_logits,38044,931
torch.nn.functional.celu,37670,1258
torch.nn.functional.cosine_embedding_loss,38085,873
torch.nn.functional.elu,37031,1425
torch.nn.functional.fractional_max_pool3d_with_indices,36892,628
torch.nn.functional.gaussian_nll_loss,36909,819
torch.nn.functional.group_norm,38103,3120
torch.nn.functional.hardsigmoid,37544,1519
torch.nn.functional.hardswish,37609,971
torch.nn.functional.hardtanh,37729,2791
torch.nn.functional.huber_loss,38281,956
torch.nn.functional.instance_norm,38511,1919
torch.nn.functional.kl_div,38029,973
torch.nn.functional.l1_loss,38118,909
torch.nn.functional.layer_norm,38156,2233
torch.nn.functional.leaky_relu,37019,870
torch.nn.functional.local_response_norm,38120,1023
torch.nn.functional.log_softmax,37696,1845
torch.nn.functional.margin_ranking_loss,37671,1030
torch.nn.functional.max_pool2d_with_indices,37740,752
torch.nn.functional.mish,37606,1252
torch.nn.functional.mse_loss,36914,861
torch.nn.functional.normalize,38024,1906
torch.nn.functional.poisson_nll_loss,38030,1055
torch.nn.functional.relu,37623,6698
torch.nn.functional.relu6,36949,1057
torch.nn.functional.rrelu,37994,899
torch.nn.functional.selu,37599,1237
torch.nn.functional.silu,36902,2025
torch.nn.functional.smooth_l1_loss,38211,969
torch.nn.functional.soft_margin_loss,38013,883
torch.nn.functional.softmax,37695,3446
torch.nn.functional.softmin,37682,1046
torch.nn.functional.softsign,37198,1952
torch.nn.functional.tanhshrink,37012,1605
torch.nn.functional.threshold,37028,1676
torch.nn.functional.triplet_margin_loss,38000,884
torch.nonzero,37694,657
torch.ones_like,37752,930
torch.outer,37663,1022
torch.pairwise_distance,38047,958
torch.pdist,36916,1101
torch.permute,37871,2652
torch.pinverse,37813,1829
torch.pixel_shuffle,36829,2012
torch.pixel_unshuffle,37669,1721
torch.positive,37590,1731
torch.pow,38166,2151
torch.prod,37731,1092
torch.qr,36912,2633
torch.quantile,38059,1206
torch.rad2deg,37455,1005
torch.ravel,37647,993
torch.real,37723,2796
torch.reciprocal,36953,998
torch.relu,36936,1793
torch.relu_,37608,1163
torch.remainder,37986,1019
torch.renorm,37753,1032
torch.repeat_interleave,37916,1230
torch.resolve_conj,37578,920
torch.resolve_neg,37585,934
torch.roll,37840,1177
torch.rot90,37807,1073
torch.round,37639,1554
torch.rsqrt,36931,956
torch.rsub,38157,940
torch.select,37763,795
torch.select_scatter,37955,859
torch.sgn,37607,18335
torch.sigmoid,36914,1022
torch.sigmoid_,37597,847
torch.sign,37565,17044
torch.signbit,37600,11426
torch.sin,36920,960
torch.sinc,37590,944
torch.sinh,36937,845
torch.softmax,37687,978
torch.sort,37771,927
torch.split_copy,37744,808
torch.split_with_sizes,37873,895
torch.sqrt,36925,1858
torch.square,37614,591
torch.squeeze,37713,5215
torch.stack,38181,4813
torch.std,37842,857
torch.std_mean,37836,941
torch.sub,37772,1393
torch.subtract,37590,2346
torch.sum,37917,3991
torch.svd,37803,1119
torch.swapaxes,37792,2270
torch.swapdims,37797,2635
torch.t,37722,940
torch.take,37897,952
torch.tan,36934,779
torch.tanh,36923,1347
torch.tanh_,37599,858
torch.threshold,36986,913
torch.threshold_,37671,811
torch.tile,37789,524
torch.transpose,37796,3118
torch.trapezoid,38149,960
torch.trapz,38053,854
torch.tril,37659,1251
torch.triplet_margin_loss,36913,891
torch.triu,37658,1148
torch.true_divide,37635,1744
torch.trunc,36927,1353
torch.unflatten,36846,506
torch.unfold_copy,37702,1385
torch.unsqueeze,37052,1428
torch.var,37849,1138
torch.var_mean,37828,928
torch.view_as_complex,37650,1345
torch.view_as_real,37659,1303
torch.view_copy,36907,1158
torch.vsplit,36859,1015
torch.where,37607,757
torch.xlogy,38076,937
torch.zero_,37603,882
torch.zeros_like,37686,4141
